Holiday 	Date 	Day of Week
New Year’s Day 	January 1, 2025 	Wednesday
Martin Luther King Jr. Day 	January 20, 2025 	Monday
President’s Day 	February 17, 2025 	Monday
Patriot’s Day 	April 21, 2025 	Monday
Memorial Day 	May 26, 2025 	Monday
Juneteenth 	June 19, 2025 	Thursday
Independence Day 	July 4, 2025 	Friday
Labor Day 	September 1, 2025 	Monday
Thanksgiving Day 	November 27, 2025 	Thursday
Christmas Day 	December 25, 2025 	Thursday
